"시군구별","보험료분위별","가입자구분별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년",
"대전","계","계","세대수","세대","628285","645200","650349","664049","678495","695169","713038",
"대전","계","계","평균보험료","원","86319","90545","92418","96310","98740","478306","105323",
"대전","계","계","적용인구","명","1451826","1469900","1442544","1440306","1438035","1416707","1404674",
"대전","계","직장","가입자","명","418221","436044","446396","460352","472917","482920","498570",
"대전","계","직장","평균보험료","원","87835","93200","94023","98142","101151","506800","112611",
"대전","계","직장","적용인구","명","1035682","1061464","1054471","1058533","1061459","1041121","1036296",
"대전","계","근로자","가입자","명","368935","386998","398108","412049","424547","434666","449776",
"대전","계","근로자","평균보험료","원","82501","87467","88011","92255","95127","481319","106802",
"대전","계","근로자","적용인구","명","894236","920038","917791","924479","930180","916005","914363",
"대전","계","공교","가입자","명","49286","49046","48288","48303","48370","48254","48794",
"대전","계","공교","평균보험료","원","127767","138431","143588","148363","154028","769905","166154",
"대전","계","공교","적용인구","명","141446","141426","136680","134054","131279","125116","121933",
"대전","계","지역","세대수","세대","210064","209156","203953","203697","205578","212249","214468",
"대전","계","지역","평균보험료","원","83299","85009","88904","92170","93194","413098","88383",
"대전","계","지역","적용인구","명","416144","408436","388073","381773","376576","375586","368378",
"대전","1분위","계","세대수","세대","62128","64182","65061","65476","67024","70280","70619",
"대전","1분위","계","평균보험료","원","18751","19131","20292","21050","21521","113455","24932",
"대전","1분위","계","적용인구","명","106525","108035","106227","104705","105978","109278","106562",
"대전","1분위","직장","가입자","명","44607","47025","48423","48731","50015","51353","51418",
"대전","1분위","직장","평균보험료","원","23912","24117","25250","26216","26814","143482","31310",
"대전","1분위","직장","적용인구","명","87127","88853","87483","85869","86842","85629","82290",
"대전","1분위","근로자","가입자","명","44349","46846","48320","48598","49867","51164","51322",
"대전","1분위","근로자","평균보험료","원","23905","24107","25245","26205","26799","143373","31298",
"대전","1분위","근로자","적용인구","명","86704","88563","87308","85652","86619","85362","82132",
"대전","1분위","공교","가입자","명","258","179","103","133","148","189","96",
"대전","1분위","공교","평균보험료","원","25153","26848","27526","30366","31774","173529","37292",
"대전","1분위","공교","적용인구","명","423","290","175","217","223","267","158",
"대전","1분위","지역","세대수","세대","17521","17157","16638","16745","17009","18927","19201",
"대전","1분위","지역","평균보험료","원","5612","5463","5865","6015","5959","34042","7852",
"대전","1분위","지역","적용인구","명","19398","19182","18744","18836","19136","23649","24272",
"대전","2분위","계","세대수","세대","65553","67929","67867","70536","72175","70364","78541",
"대전","2분위","계","평균보험료","원","26601","27599","29648","31679","32961","185588","38760",
"대전","2분위","계","적용인구","명","111886","113528","112195","114617","115268","112980","120649",
"대전","2분위","직장","가입자","명","45348","46256","47496","49948","51211","51435","51247",
"대전","2분위","직장","평균보험료","원","32587","34454","36619","38975","40893","232517","52389",
"대전","2분위","직장","적용인구","명","87233","87639","87684","89674","89934","87462","85241",
"대전","2분위","근로자","가입자","명","44793","45787","47117","49374","50605","50662","50469",
"대전","2분위","근로자","평균보험료","원","32582","34447","36617","38971","40893","232485","52386",
"대전","2분위","근로자","적용인구","명","86342","86954","87136","88825","89059","86426","84189",
"대전","2분위","공교","가입자","명","555","469","379","574","606","773","778",
"대전","2분위","공교","평균보험료","원","33004","35139","36869","39328","40860","234709","52568",
"대전","2분위","공교","적용인구","명","891","685","548","849","875","1036","1052",
"대전","2분위","지역","세대수","세대","20205","21673","20371","20588","20964","18929","27294",
"대전","2분위","지역","평균보험료","원","13167","12969","13394","13978","13586","59241","13170",
"대전","2분위","지역","적용인구","명","24653","25889","24511","24943","25334","25518","35408",
"대전","3분위","계","세대수","세대","65035","66864","67587","69448","74256","87180","86438",
"대전","3분위","계","평균보험료","원","32837","34279","35992","37907","38663","182622","43183",
"대전","3분위","계","적용인구","명","109988","112782","110198","111349","115998","134445","131264",
"대전","3분위","직장","가입자","명","42106","44064","44783","46079","47554","51437","56117",
"대전","3분위","직장","평균보험료","원","39701","41763","43662","45858","48062","263734","58797",
"대전","3분위","직장","적용인구","명","79754","82772","80561","80860","82004","85870","90567",
"대전","3분위","근로자","가입자","명","40932","43232","43886","45360","46902","50608","55210",
"대전","3분위","근로자","평균보험료","원","39713","41767","43667","45860","48064","263704","58794",
"대전","3분위","근로자","적용인구","명","77856","81434","79195","79849","81056","84688","89350",
"대전","3분위","공교","가입자","명","1174","832","897","719","652","829","907",
"대전","3분위","공교","평균보험료","원","39299","41589","43400","45712","47899","265469","59002",
"대전","3분위","공교","적용인구","명","1898","1338","1366","1011","948","1182","1217",
"대전","3분위","지역","세대수","세대","22929","22800","22804","23369","26702","35743","30321",
"대전","3분위","지역","평균보험료","원","20232","19816","20930","22230","21926","65619","14284",
"대전","3분위","지역","적용인구","명","30234","30010","29637","30489","33994","48575","40697",
"대전","4분위","계","세대수","세대","57746","60257","62101","62693","63488","62921","67383",
"대전","4분위","계","평균보험료","원","42277","44248","46307","49009","51218","251182","56210",
"대전","4분위","계","적용인구","명","110681","112785","111764","110381","110391","105773","109449",
"대전","4분위","직장","가입자","명","39048","41673","43141","44289","45723","46855","50274",
"대전","4분위","직장","평균보험료","원","47557","49979","52021","54550","57013","302747","66378",
"대전","4분위","직장","적용인구","명","77177","80244","80122","80089","80201","79845","82393",
"대전","4분위","근로자","가입자","명","37808","40617","42016","43301","44701","45797","48735",
"대전","4분위","근로자","평균보험료","원","47565","49971","52010","54531","57000","302706","66378",
"대전","4분위","근로자","적용인구","명","75237","78573","78419","78604","78725","78293","80213",
"대전","4분위","공교","가입자","명","1240","1056","1125","988","1022","1058","1539",
"대전","4분위","공교","평균보험료","원","47316","50291","52412","55400","57600","304724","66367",
"대전","4분위","공교","적용인구","명","1940","1671","1703","1485","1476","1552","2180",
"대전","4분위","지역","세대수","세대","18698","18584","18960","18404","17765","16066","17109",
"대전","4분위","지역","평균보험료","원","31249","31396","33305","35674","36301","104936","26331",
"대전","4분위","지역","적용인구","명","33504","32541","31642","30292","30190","25928","27056",
"대전","5분위","계","세대수","세대","60058","61520","62350","64140","65234","65847","67318",
"대전","5분위","계","평균보험료","원","53521","55813","58319","61187","63777","304046","67904",
"대전","5분위","계","적용인구","명","119989","122255","121100","121909","119608","116476","115418",
"대전","5분위","직장","가입자","명","38528","40287","41317","42629","44052","45281","46603",
"대전","5분위","직장","평균보험료","원","57180","60257","62268","64764","67306","356915","77373",
"대전","5분위","직장","적용인구","명","80474","82467","81633","81818","81580","80483","80161",
"대전","5분위","근로자","가입자","명","36882","38887","39957","41053","42463","43620","44541",
"대전","5분위","근로자","평균보험료","원","57183","60230","62257","64737","67282","356753","77350",
"대전","5분위","근로자","적용인구","명","77575","80179","79379","79354","79124","77968","77194",
"대전","5분위","공교","가입자","명","1646","1400","1360","1576","1589","1661","2062",
"대전","5분위","공교","평균보험료","원","57105","60996","62604","65470","67960","361845","77872",
"대전","5분위","공교","적용인구","명","2899","2288","2254","2464","2456","2515","2967",
"대전","5분위","지역","세대수","세대","21530","21233","21033","21511","21182","20566","20715",
"대전","5분위","지역","평균보험료","원","46973","47382","50560","54097","56438","190671","46601",
"대전","5분위","지역","적용인구","명","39515","39788","39467","40091","38028","35993","35257",
"대전","6분위","계","세대수","세대","59921","60869","60976","62090","63777","64893","66583",
"대전","6분위","계","평균보험료","원","68982","72062","75015","78369","81144","390604","85940",
"대전","6분위","계","적용인구","명","132049","133498","128126","126905","128461","123338","123517",
"대전","6분위","직장","가입자","명","37771","39214","41051","42191","43911","43943","45211",
"대전","6분위","직장","평균보험료","원","69609","73408","75664","78487","81088","425406","91385",
"대전","6분위","직장","적용인구","명","84026","86711","87767","87848","89645","85426","84645",
"대전","6분위","근로자","가입자","명","34242","36232","38099","39090","40809","40859","42016",
"대전","6분위","근로자","평균보험료","원","69591","73368","75594","78409","81051","425180","91373",
"대전","6분위","근로자","적용인구","명","77479","81232","82681","82627","84426","80645","79740",
"대전","6분위","공교","가입자","명","3529","2982","2952","3101","3102","3084","3195",
"대전","6분위","공교","평균보험료","원","69784","73900","76569","79476","81575","428640","91549",
"대전","6분위","공교","적용인구","명","6547","5479","5086","5221","5219","4781","4905",
"대전","6분위","지역","세대수","세대","22150","21655","19925","19899","19866","20950","21372",
"대전","6분위","지역","평균보험료","원","67914","69625","73679","78118","81267","319700","74422",
"대전","6분위","지역","적용인구","명","48023","46787","40359","39057","38816","37912","38872",
"대전","7분위","계","세대수","세대","58780","59849","60669","61716","62816","62776","60866",
"대전","7분위","계","평균보험료","원","88232","92086","95441","99302","102477","502127","108465",
"대전","7분위","계","적용인구","명","143087","144649","142478","140448","139068","133872","124569",
"대전","7분위","직장","가입자","명","37352","39314","40132","41317","42695","43746","45799",
"대전","7분위","직장","평균보험료","원","86012","90816","93451","96612","99435","517767","110434",
"대전","7분위","직장","적용인구","명","93854","98676","97950","96869","97458","95684","96805",
"대전","7분위","근로자","가입자","명","31452","33587","34887","36164","37401","38634","40376",
"대전","7분위","근로자","평균보험료","원","85966","90651","93325","96511","99300","517365","110368",
"대전","7분위","근로자","적용인구","명","80811","85658","86586","86040","86922","86164","87004",
"대전","7분위","공교","가입자","명","5900","5727","5245","5153","5294","5112","5423",
"대전","7분위","공교","평균보험료","원","86256","91783","94293","97319","100393","520823","110925",
"대전","7분위","공교","적용인구","명","13043","13018","11364","10829","10536","9520","9801",
"대전","7분위","지역","세대수","세대","21428","20535","20537","20399","20121","19030","15067",
"대전","7분위","지역","평균보험료","원","92101","94518","99329","104752","108932","467485","102479",
"대전","7분위","지역","적용인구","명","49233","45973","44528","43579","41610","38188","27764",
"대전","8분위","계","세대수","세대","63211","65468","65568","66655","67819","68439","70238",
"대전","8분위","계","평균보험료","원","113865","118965","122887","127796","131555","649947","137192",
"대전","8분위","계","적용인구","명","172166","178241","173003","171919","171541","164473","162902",
"대전","8분위","직장","가입자","명","40879","43442","44202","45128","46473","47511","49006",
