,시군구별(1),보험료분위별(1),2013,2013.1,2013.2,2013.3,2013.4,2013.5,2013.6,2013.7,2013.8,2013.9,2013.10,2013.11,2013.12,2013.13,2013.14,2014,2014.1,2014.2,2014.3,2014.4,2014.5,2014.6,2014.7,2014.8,2014.9,2014.10,2014.11,2014.12,2014.13,2014.14,2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2015.7,2015.8,2015.9,2015.10,2015.11,2015.12,2015.13,2015.14,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2016.8,2016.9,2016.10,2016.11,2016.12,2016.13,2016.14,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2017.8,2017.9,2017.10,2017.11,2017.12,2017.13,2017.14,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2018.8,2018.9,2018.10,2018.11,2018.12,2018.13,2018.14,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2019.7,2019.8,2019.9,2019.10,2019.11,2019.12,2019.13,2019.14
0,시군구별(1),보험료분위별(1),계,계,계,직장,직장,직장,직장,직장,직장,직장,직장,직장,지역,지역,지역,계,계,계,직장,직장,직장,직장,직장,직장,직장,직장,직장,지역,지역,지역,계,계,계,직장,직장,직장,직장,직장,직장,직장,직장,직장,지역,지역,지역,계,계,계,직장,직장,직장,직장,직장,직장,직장,직장,직장,지역,지역,지역,계,계,계,직장,직장,직장,직장,직장,직장,직장,직장,직장,지역,지역,지역,계,계,계,직장,직장,직장,직장,직장,직장,직장,직장,직장,지역,지역,지역,계,계,계,직장,직장,직장,직장,직장,직장,직장,직장,직장,지역,지역,지역
1,시군구별(1),보험료분위별(1),소계,소계,소계,소계,소계,소계,근로자,근로자,근로자,공교,공교,공교,소계,소계,소계,소계,소계,소계,소계,소계,소계,근로자,근로자,근로자,공교,공교,공교,소계,소계,소계,소계,소계,소계,소계,소계,소계,근로자,근로자,근로자,공교,공교,공교,소계,소계,소계,소계,소계,소계,소계,소계,소계,근로자,근로자,근로자,공교,공교,공교,소계,소계,소계,소계,소계,소계,소계,소계,소계,근로자,근로자,근로자,공교,공교,공교,소계,소계,소계,소계,소계,소계,소계,소계,소계,근로자,근로자,근로자,공교,공교,공교,소계,소계,소계,소계,소계,소계,소계,소계,소계,근로자,근로자,근로자,공교,공교,공교,소계,소계,소계
2,시군구별(1),보험료분위별(1),세대수 (세대),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),세대수 (세대),평균보험료 (원),적용인구 (명),세대수 (세대),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),세대수 (세대),평균보험료 (원),적용인구 (명),세대수 (세대),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),세대수 (세대),평균보험료 (원),적용인구 (명),세대수 (세대),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),세대수 (세대),평균보험료 (원),적용인구 (명),세대수 (세대),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),세대수 (세대),평균보험료 (원),적용인구 (명),세대수 (세대),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),세대수 (세대),평균보험료 (원),적용인구 (명),세대수 (세대),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),세대수 (세대),평균보험료 (원),적용인구 (명)
3,광주,계,588246,79882,1357778,384823,82390,965256,340452,76912,835202,44371,124419,130054,203423,75136,392522,602837,84576,1374047,399883,88282,987284,356184,82656,858889,43699,134132,128395,202954,77275,386763,611500,87480,1361222,413238,90035,991248,369555,84226,865120,43683,139182,126128,198262,82153,369974,625562,91728,1364329,426890,94077,999039,382927,88289,874370,43963,144496,124669,198672,86679,365290,638672,95166,1364651,439090,97995,1004435,395245,92136,882277,43845,150806,122158,199582,88943,360216,662140,481285,1363707,454138,521981,999601,409149,491363,880521,44989,774836,119080,208002,398654,364106,686733,102562,1369265,472494,109878,1004512,426445,104259,886302,46049,161916,118210,214239,86427,364753
4,광주,1분위,62886,18098,107772,41771,24564,84898,41501,24560,84422,270,25177,476,21115,5307,22874,62207,18111,104010,41454,24785,81475,41298,24777,81223,156,27015,252,20753,4779,22535,62350,19244,100713,41899,26090,78414,41752,26083,78171,147,28137,243,20451,5217,22299,62733,19888,98927,41627,27203,75775,41490,27198,75567,137,28546,208,21106,5461,23152,63482,20717,98868,43057,27986,76392,42917,27977,76164,140,30705,228,20425,5392,22476,66467,111815,102498,45462,151094,77656,45308,151032,77418,154,167096,238,21005,31544,24842,64784,24730,97280,44593,32549,72754,44403,32527,72440,190,37566,314,20191,7462,24526
5,광주,2분위,75689,26033,130082,50289,32590,100332,49533,32599,99204,756,32000,1128,25400,13052,29750,83235,26400,140313,52578,34432,104965,52183,34426,104334,395,35227,631,30657,12623,35348,82908,28408,138474,53899,36611,105016,53586,36607,104538,313,37434,478,29009,13167,33458,83358,30392,137172,55451,38884,104736,54955,38875,103971,496,39861,765,27907,13518,32436,85157,31363,137134,55798,40836,103426,55229,40829,102560,569,41602,866,29359,13359,33708,74588,182594,123196,54739,232373,97749,53930,232346,96591,809,234118,1158,19849,58919,25447,81033,39317,127528,54156,52322,93205,53438,52311,92216,718,53123,989,26877,13112,34323
6,광주,3분위,61421,32820,107653,40651,39390,79739,39713,39399,78192,938,39024,1547,20770,19960,27914,59258,35984,108014,43394,41734,85304,42591,41738,84028,803,41520,1276,15864,20256,22710,60555,38231,106557,45963,43607,85819,45146,43615,84545,817,43167,1274,14592,21298,20738,63564,39997,109030,47913,45795,87064,47265,45795,86043,648,45792,1021,15651,22249,21966,66833,41374,112529,49967,47931,89130,49276,47933,88063,691,47771,1067,16866,21948,23399,85515,186972,136738,53841,263387,93546,53111,263387,92482,730,263343,1064,31674,65640,43192,87393,44586,137172,59695,58681,100804,58675,58671,99401,1020,59255,1403,27698,14207,36368
7,광주,4분위,55131,42684,107919,38679,47446,78799,37540,47434,76867,1139,47849,1932,16452,31489,29120,55473,44553,105025,39018,50011,77458,38057,49999,75866,961,50497,1592,16455,31611,27567,57228,46550,104265,40299,52067,77023,39111,52047,75149,1188,52727,1874,16929,33417,27242,57998,49071,103137,41258,54520,76626,40274,54499,75069,984,55377,1557,16740,35641,26511,58497,51534,103302,42684,57120,77258,41830,57118,75974,854,57198,1284,15813,36456,26044,60671,250963,102988,45244,303112,79537,44286,303037,78053,958,306282,1484,15427,105786,23451,66259,55993,109156,49157,66259,83369,48009,66252,81720,1148,66546,1649,17102,26484,25787
8,광주,5분위,58321,53565,117012,37039,57304,79218,35250,57329,75945,1789,56804,3273,21282,47057,37794,59754,55943,118924,39152,60359,81519,37684,60344,78926,1468,60762,2593,20602,47552,37405,59844,58459,116578,39927,62260,80701,38487,62256,78219,1440,62390,2482,19917,50839,35877,62458,61408,119964,42437,64755,83931,40871,64722,81280,1566,65609,2651,20021,54315,36033,62608,63869,116743,42161,67308,80845,40718,67296,78445,1443,67629,2400,20447,56779,35898,63937,299517,115106,42661,357633,78661,40809,357535,75811,1852,359538,2850,21276,190038,36445,66579,67552,116506,45080,77467,80416,43201,77459,77627,1879,77651,2789,21499,46760,36090
