,행정구역,2016 급여총계 인원 (명),2016 급여총계 금액 (백만원),2016 과세대상근로소득(총급여) 인원 (명),2016 과세대상근로소득(총급여) 금액 (백만원),2017 급여총계 인원 (명),2017 급여총계 금액 (백만원),2017 과세대상근로소득(총급여) 인원 (명),2017 과세대상근로소득(총급여) 금액 (백만원),2018 급여총계 인원 (명),2018 급여총계 금액 (백만원),2018 과세대상근로소득(총급여) 인원 (명),2018 과세대상근로소득(총급여) 금액 (백만원),2019 급여총계 인원 (명),2019 급여총계 금액 (백만원),2019 과세대상근로소득(총급여) 인원 (명),2019 과세대상근로소득(총급여) 금액 (백만원)
0,전국소계,17740098,600099695,17668285,595990661,18005534,637616487,17925345,633611675,18577885,681611264,18501089,677488617,19167273,721686447,19074871,717531015
1,서울소계,3629625,138096837,3621150,137226200,3645417,146379773,3636049,145511903,3743474,155269460,3734108,154395729,3845841,164800618,3836212,163916825
2,서울강남구,206668,13057288,206346,12989836,201206,14142558,200894,14078169,206821,14403588,206523,14339618,209653,14926829,209360,14863887
3,서울강동구,161837,5614760,161558,5577333,160371,5824940,160084,5788728,165248,6291291,164967,6254566,183833,7447177,183504,7407086
4,서울강북구,102249,2647871,102053,2632574,102117,2764297,101879,2749477,103391,2913526,103160,2897863,105025,3075447,104773,3058999
5,서울강서구,233511,7710165,232996,7628623,236070,8221014,235487,8133889,242516,8809099,241919,8719706,245495,9178851,244918,9087948
6,서울관악구,202189,5779387,201656,5745259,205325,6098873,204654,6065462,212016,6521099,211360,6487537,217483,6865539,216841,6830972
7,서울광진구,137927,4657189,137552,4631001,139502,4949835,139100,4923083,142631,5250413,142225,5223826,145629,5495292,145146,5469408
8,서울구로구,163520,5055671,163144,5027109,162000,5264673,161581,5236393,166803,5614023,166375,5584744,171843,5972692,171435,5943790
9,서울금천구,91194,2411167,90925,2397028,91260,2531695,90998,2517894,95166,2766103,94939,2750939,98934,2973640,98708,2958726
10,서울노원구,189827,6503565,189359,6462286,188364,6697695,187809,6657118,189212,6942109,188666,6900803,191248,7206570,190624,7165622
11,서울도봉구,116832,3419968,116562,3398850,116510,3530209,116233,3509818,118281,3683487,118008,3662835,118771,3797517,118459,3776964
12,서울동대문구,116466,3539255,116108,3517492,117744,3783211,117278,3761164,120859,4069348,120420,4046113,125149,4357428,124535,4333325
13,서울동작구,152859,5623027,152208,5586855,154339,5915612,153530,5879398,160341,6371673,159483,6334088,163292,6661784,162746,6627712
14,서울마포구,145901,5945288,145471,5906142,148218,6336265,147786,6296498,152162,6814638,151737,6775997,156129,7296518,155708,7256814
15,서울서대문구,111807,4027703,111454,3998679,112716,4227723,112336,4198678,115417,4555667,115025,4527785,121106,4982198,120695,4951826
16,서울서초구,167621,10594212,167281,10537994,165674,11359238,165289,11302263,167636,11569227,167303,11515210,168901,12021965,168577,11969079
17,서울성동구,112421,4470137,112246,4440760,116243,4929924,116056,4901455,116973,5203765,116783,5176267,117651,5431210,117425,5403559
18,서울성북구,145308,5185898,144985,5151143,144303,5413273,143992,5379933,151736,5835993,151398,5800967,155845,6132023,155413,6096249
19,서울송파구,259057,11619948,258616,11548756,263839,12335849,263450,12265302,276658,13537820,276246,13465942,280758,14203992,280281,14132599
20,서울양천구,170566,6984964,170163,6937326,170083,7279487,169639,7231996,172285,7650219,171825,7602673,175717,8042926,175324,7994256
21,서울영등포구,153074,5837597,152777,5800786,156209,6241782,155880,6204667,161550,6726793,161219,6690935,170948,7398345,170673,7361189
22,서울용산구,85050,4552119,84895,4529872,86315,4942793,86131,4920956,89183,5248094,89004,5226355,92859,5822661,92706,5800844
23,서울은평구,170998,5155948,170587,5120914,172919,5452739,172499,5418547,177719,5878306,177256,5844440,183936,6343267,183408,6306182
24,서울종로구,50444,2248257,50296,2234441,50504,2353076,50344,2338359,51396,2447854,51243,2432965,52689,2566206,52543,2551645
25,서울중구,42757,1756529,42682,1746785,43810,1894195,43720,1883631,45693,2050997,45603,2040026,47280,2184474,47160,2173922
26,서울중랑구,139542,3698926,139230,3678356,139776,3888819,139400,3869027,141781,4114330,141421,4093528,145667,4416068,145250,4394220
27,인천소계,1063619,31804325,1059761,31576501,1084494,33953035,1079952,33734409,1123686,36741356,1119116,36509753,1145602,38615008,1141512,38385344
28,인천강화군,16617,465083,16496,461539,16947,501111,16686,497778,17769,542466,17584,538991,18457,580350,18228,576903
29,인천계양구,118341,3177103,117864,3155754,115930,3235988,115428,3217046,115964,3375369,115471,3355163,116028,3465097,115518,3444659
30,인천미추홀구,144365,3738032,143705,3713003,145574,3938522,144741,3915098,148166,4170480,147167,4145262,149099,4321603,148371,4297516
31,인천남동구,198052,5808628,197366,5769046,201133,6153649,200345,6116199,204461,6497706,203668,6459181,206416,6728459,205796,6691258
32,인천동구,23672,638751,23622,634890,22908,639655,22857,636420,22570,658775,22514,655247,22310,667824,22251,664408
33,인천부평구,193564,5574627,192958,5538274,190694,5686158,190072,5653343,192143,5934673,191554,5900007,189424,6012506,188839,5978749
34,인천서구,192051,5822861,191436,5777262,205137,6533479,204429,6487286,215812,7182505,215118,7133932,220757,7561718,220075,7513088
35,인천연수구,126513,4999229,126094,4960740,133014,5540970,132523,5501794,146133,6328133,145641,6285775,157315,6987847,156898,6944424
