,시도코드,시군구코드,법정동명,법정동코드
0,11.0,11010.0,서울특별시 종로구,1111000000
1,11.0,11020.0,서울특별시 중구,1114000000
2,11.0,11030.0,서울특별시 용산구,1117000000
3,11.0,11040.0,서울특별시 성동구,1120000000
4,11.0,11050.0,서울특별시 광진구,1121500000
5,11.0,11060.0,서울특별시 동대문구,1123000000
6,11.0,11070.0,서울특별시 중랑구,1126000000
7,11.0,11080.0,서울특별시 성북구,1129000000
8,11.0,11090.0,서울특별시 강북구,1130500000
9,11.0,11100.0,서울특별시 도봉구,1132000000
10,11.0,11110.0,서울특별시 노원구,1135000000
11,11.0,11120.0,서울특별시 은평구,1138000000
12,11.0,11130.0,서울특별시 서대문구,1141000000
13,11.0,11140.0,서울특별시 마포구,1144000000
14,11.0,11150.0,서울특별시 양천구,1147000000
15,11.0,11160.0,서울특별시 강서구,1150000000
16,11.0,11170.0,서울특별시 구로구,1153000000
17,11.0,11180.0,서울특별시 금천구,1154500000
18,11.0,11190.0,서울특별시 영등포구,1156000000
19,11.0,11200.0,서울특별시 동작구,1159000000
20,11.0,11210.0,서울특별시 관악구,1162000000
21,11.0,11220.0,서울특별시 서초구,1165000000
22,11.0,11230.0,서울특별시 강남구,1168000000
23,11.0,11240.0,서울특별시 송파구,1171000000
24,11.0,11250.0,서울특별시 강동구,1174000000
25,21.0,21010.0,부산광역시 중구,2611000000
26,21.0,21020.0,부산광역시 서구,2614000000
27,21.0,21030.0,부산광역시 동구,2617000000
28,21.0,21040.0,부산광역시 영도구,2620000000
29,21.0,21050.0,부산광역시 부산진구,2623000000
30,21.0,21060.0,부산광역시 동래구,2626000000
31,21.0,21070.0,부산광역시 남구,2629000000
32,21.0,21080.0,부산광역시 북구,2632000000
33,21.0,21090.0,부산광역시 해운대구,2635000000
34,21.0,21100.0,부산광역시 사하구,2638000000
35,21.0,21110.0,부산광역시 금정구,2641000000
36,21.0,21120.0,부산광역시 강서구,2644000000
37,21.0,21130.0,부산광역시 연제구,2647000000
38,21.0,21140.0,부산광역시 수영구,2650000000
39,21.0,21150.0,부산광역시 사상구,2653000000
40,21.0,21310.0,부산광역시 기장군,2671000000
41,22.0,22010.0,대구광역시 중구,2711000000
42,22.0,22020.0,대구광역시 동구,2714000000
43,22.0,22030.0,대구광역시 서구,2717000000
44,22.0,22040.0,대구광역시 남구,2720000000
45,22.0,22050.0,대구광역시 북구,2723000000
46,22.0,22060.0,대구광역시 수성구,2726000000
47,22.0,22070.0,대구광역시 달서구,2729000000
48,22.0,22310.0,대구광역시 달성군,2771000000
49,23.0,23010.0,인천광역시 중구,2811000000
50,23.0,23020.0,인천광역시 동구,2814000000
