,시도코드,시군구코드,법정동명
0,11,11010,서울특별시 종로구
1,11,11020,서울특별시 중구
2,11,11030,서울특별시 용산구
3,11,11040,서울특별시 성동구
4,11,11050,서울특별시 광진구
5,11,11060,서울특별시 동대문구
6,11,11070,서울특별시 중랑구
7,11,11080,서울특별시 성북구
8,11,11090,서울특별시 강북구
9,11,11100,서울특별시 도봉구
10,11,11110,서울특별시 노원구
11,11,11120,서울특별시 은평구
12,11,11130,서울특별시 서대문구
13,11,11140,서울특별시 마포구
14,11,11150,서울특별시 양천구
15,11,11160,서울특별시 강서구
16,11,11170,서울특별시 구로구
17,11,11180,서울특별시 금천구
18,11,11190,서울특별시 영등포구
19,11,11200,서울특별시 동작구
20,11,11210,서울특별시 관악구
21,11,11220,서울특별시 서초구
22,11,11230,서울특별시 강남구
23,11,11240,서울특별시 송파구
24,11,11250,서울특별시 강동구
25,21,21010,부산광역시 중구
26,21,21020,부산광역시 서구
27,21,21030,부산광역시 동구
28,21,21040,부산광역시 영도구
29,21,21050,부산광역시 부산진구
30,21,21060,부산광역시 동래구
31,21,21070,부산광역시 남구
32,21,21080,부산광역시 북구
33,21,21090,부산광역시 해운대구
34,21,21100,부산광역시 사하구
35,21,21110,부산광역시 금정구
36,21,21120,부산광역시 강서구
37,21,21130,부산광역시 연제구
38,21,21140,부산광역시 수영구
39,21,21150,부산광역시 사상구
40,21,21310,부산광역시 기장군
41,22,22010,대구광역시 중구
42,22,22020,대구광역시 동구
43,22,22030,대구광역시 서구
44,22,22040,대구광역시 남구
45,22,22050,대구광역시 북구
46,22,22060,대구광역시 수성구
47,22,22070,대구광역시 달서구
48,22,22310,대구광역시 달성군
49,23,23010,인천광역시 중구
50,23,23020,인천광역시 동구
51,23,23040,인천광역시 연수구
52,23,23050,인천광역시 남동구
53,23,23060,인천광역시 부평구
54,23,23070,인천광역시 계양구
55,23,23080,인천광역시 서구
56,23,23090,인천광역시 미추홀구
57,23,23310,인천광역시 강화군
58,23,23320,인천광역시 옹진군
59,24,24010,광주광역시 동구
60,24,24020,광주광역시 서구
61,24,24030,광주광역시 남구
62,24,24040,광주광역시 북구
63,24,24050,광주광역시 광산구
64,25,25010,대전광역시 동구
65,25,25020,대전광역시 중구
66,25,25030,대전광역시 서구
67,25,25040,대전광역시 유성구
68,25,25050,대전광역시 대덕구
69,26,26010,울산광역시 중구
70,26,26020,울산광역시 남구
71,26,26030,울산광역시 동구
72,26,26040,울산광역시 북구
73,26,26310,울산광역시 울주군
74,29,29010,세종특별자치시 세종특별자치시
75,31,31011,경기도 수원시
76,31,31021,경기도 성남시
77,31,31030,경기도 의정부시
78,31,31041,경기도 안양시
79,31,31050,경기도 부천시
80,31,31060,경기도 광명시
81,31,31070,경기도 평택시
82,31,31080,경기도 동두천시
83,31,31091,경기도 안산시
84,31,31101,경기도 고양시
85,31,31110,경기도 과천시
86,31,31120,경기도 구리시
87,31,31130,경기도 남양주시
88,31,31140,경기도 오산시
89,31,31150,경기도 시흥시
90,31,31160,경기도 군포시
91,31,31170,경기도 의왕시
92,31,31180,경기도 하남시
93,31,31191,경기도 용인시
94,31,31200,경기도 파주시
95,31,31210,경기도 이천시
96,31,31220,경기도 안성시
97,31,31230,경기도 김포시
98,31,31240,경기도 화성시
99,31,31250,경기도 광주시
100,31,31260,경기도 양주시
101,31,31270,경기도 포천시
102,31,31280,경기도 여주시
103,31,31350,경기도 연천군
104,31,31370,경기도 가평군
105,31,31380,경기도 양평군
106,32,32010,강원도 춘천시
107,32,32020,강원도 원주시
108,32,32030,강원도 강릉시
109,32,32040,강원도 동해시
110,32,32050,강원도 태백시
