,주소,영업장주변구분,영업장주변구분명
0,강원도 강릉시,기타,48
1,강원도 강릉시,미분류,84
2,강원도 강릉시,유흥업소밀집지역,74
3,강원도 강릉시,학교정화(상대),7
4,강원도 고성군,기타,4
5,강원도 고성군,미분류,13
6,강원도 고성군,주택가주변,1
7,강원도 동해시,결혼예식장주변,1
8,강원도 동해시,기타,9
9,강원도 동해시,미분류,22
10,강원도 동해시,아파트지역,4
11,강원도 동해시,유흥업소밀집지역,88
12,강원도 동해시,학교정화(상대),3
13,강원도 삼척시,결혼예식장주변,1
14,강원도 삼척시,기타,38
15,강원도 삼척시,미분류,9
16,강원도 삼척시,아파트지역,2
17,강원도 삼척시,유흥업소밀집지역,32
18,강원도 삼척시,주택가주변,1
19,강원도 삼척시,학교정화(상대),3
20,강원도 속초시,기타,10
21,강원도 속초시,미분류,64
22,강원도 속초시,유흥업소밀집지역,1
23,강원도 속초시,학교정화(상대),3
24,강원도 양구군,기타,4
25,강원도 양구군,미분류,10
26,강원도 양구군,유흥업소밀집지역,2
27,강원도 양구군,학교정화(절대),1
28,강원도 양양군,기타,9
29,강원도 양양군,미분류,9
30,강원도 양양군,유흥업소밀집지역,1
31,강원도 양양군,주택가주변,1
32,강원도 양양군,학교정화(상대),5
33,강원도 영월군,결혼예식장주변,1
34,강원도 영월군,기타,4
35,강원도 영월군,미분류,10
36,강원도 영월군,유흥업소밀집지역,2
37,강원도 영월군,주택가주변,1
38,강원도 영월군,학교정화(상대),7
39,강원도 원주시,결혼예식장주변,1
40,강원도 원주시,기타,78
41,강원도 원주시,미분류,111
42,강원도 원주시,유흥업소밀집지역,66
43,강원도 원주시,학교정화(상대),1
44,강원도 인제군,기타,11
45,강원도 인제군,미분류,18
46,강원도 인제군,유흥업소밀집지역,3
47,강원도 인제군,주택가주변,1
48,강원도 인제군,학교정화(상대),7
49,강원도 정선군,기타,28
50,강원도 정선군,미분류,18
51,강원도 정선군,유흥업소밀집지역,3
52,강원도 정선군,주택가주변,1
53,강원도 정선군,학교정화(상대),10
54,강원도 철원군,기타,30
55,강원도 철원군,미분류,26
56,강원도 철원군,유흥업소밀집지역,10
57,강원도 춘천시,기타,25
58,강원도 춘천시,미분류,87
59,강원도 춘천시,아파트지역,1
60,강원도 춘천시,유흥업소밀집지역,49
