,역번호,역사명,노선번호,노선명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,제공기관코드,제공기관명
0,3122,부평삼거리,S2801,인천지하철 1호선,일반역,-,-,37.478267,126.710494,인천교통공사,인천광역시 부평구 경인로 765,B551894,인천교통공사
1,3123,간석오거리,S2801,인천지하철 1호선,일반역,-,-,37.466921,126.707861,인천교통공사,인천광역시 남동구 경인로 674,B551894,인천교통공사
2,3124,인천시청,S2801,인천지하철 1호선,일반역,-,-,37.457615,126.702216,인천교통공사,인천광역시 남동구 예술로 264,B551894,인천교통공사
3,3125,예술회관,S2801,인천지하철 1호선,일반역,-,-,37.449334,126.700991,인천교통공사,인천광역시 남동구 예술로 172,B551894,인천교통공사
4,3126,인천터미널,S2801,인천지하철 1호선,일반역,-,-,37.441917,126.699727,인천교통공사,인천광역시 미추홀구 예술로 85,B551894,인천교통공사
5,3127,문학경기장,S2801,인천지하철 1호선,일반역,-,-,37.434964,126.698373,인천교통공사,인천광역시 연수구 예술로 2,B551894,인천교통공사
6,3128,선학,S2801,인천지하철 1호선,일반역,-,-,37.426985,126.698872,인천교통공사,인천광역시 연수구 경원대로 480,B551894,인천교통공사
7,3129,신연수,S2801,인천지하철 1호선,일반역,-,-,37.418032,126.693853,인천교통공사,인천광역시 연수구 경원대로 368,B551894,인천교통공사
8,3130,원인재,S2801,인천지하철 1호선,환승역,I2801+I2802,수인선,37.412364,126.687893,인천교통공사,인천광역시 연수구 경원대로 285,B551894,인천교통공사
9,3131,동춘,S2801,인천지하철 1호선,일반역,-,-,37.404676,126.680835,인천교통공사,인천광역시 연수구 경원대로 180,B551894,인천교통공사
10,3132,동막,S2801,인천지하철 1호선,일반역,-,-,37.398173,126.673561,인천교통공사,인천광역시 연수구 경원대로 80,B551894,인천교통공사
11,3133,캠퍼스타운,S2801,인천지하철 1호선,일반역,-,-,37.388209,126.661985,인천교통공사,인천광역시 연수구 송도국제대로 66,B551894,인천교통공사
12,3134,테크노파크,S2801,인천지하철 1호선,일반역,-,-,37.382311,126.656355,인천교통공사,인천광역시 연수구 송도국제대로 150,B551894,인천교통공사
13,3113,임학,S2801,인천지하철 1호선,일반역,-,-,37.545058,126.738642,인천교통공사,인천광역시 계양구 장제로 875,B551894,인천교통공사
14,3114,계산,S2801,인천지하철 1호선,일반역,-,-,37.543243,126.728436,인천교통공사,인천광역시 계양구 경명대로 1089,B551894,인천교통공사
15,3115,경인교대입구,S2801,인천지하철 1호선,일반역,-,-,37.538272,126.722603,인천교통공사,인천광역시 계양구 계양대로 162,B551894,인천교통공사
16,3116,작전,S2801,인천지하철 1호선,일반역,-,-,37.530271,126.722548,인천교통공사,인천광역시 계양구 게양대로 73,B551894,인천교통공사
17,3117,갈산,S2801,인천지하철 1호선,일반역,-,-,37.517124,126.721566,인천교통공사,인천광역시 부평구 부평대로 286,B551894,인천교통공사
18,3118,부평구청,S2801,인천지하철 1호선,환승역,I2801+S1107,7호선,37.508768,126.720547,인천교통공사,인천광역시 부평구 부평대로 189,B551894,인천교통공사
19,3119,부평시장,S2801,인천지하철 1호선,일반역,-,-,37.498495,126.722282,인천교통공사,인천광역시 부평구 부평대로 69,B551894,인천교통공사
20,3120,부평,S2801,인천지하철 1호선,환승역,I2801+I1101,1호선,37.490541,126.723437,인천교통공사,인천광역시 부평구 광장로 15,B551894,인천교통공사
21,3121,동수,S2801,인천지하철 1호선,일반역,-,-,37.485409,126.718464,인천교통공사,인천광역시 부평구 경인로 877,B551894,인천교통공사
22,201,장산역,S2602,부산도시철도 2호선,일반역,,,35.169914,129.176986,부산교통공사,부산광역시 해운대구 해운대로 지하 820,5380000,경상남도 양산시
23,0205,동대문역사문화공원,S1102,서울 도시철도 2호선,환승역,S1104+S1105,서울 도시철도 4호선+서울 도시철도 5호선,37.56500251,127.007394,서울교통공사,서울특별시 중구 을지로 지하 279 (을지로7가),B553766,서울교통공사
24,0206,신당,S1102,서울 도시철도 2호선,환승역,S1106,서울 도시철도 6호선,37.56582912,127.0181023,서울교통공사,서울특별시 중구 퇴계로 지하 431-1 (신당동),B553766,서울교통공사
25,0207,상왕십리,S1102,서울 도시철도 2호선,일반역,,,37.56417104,127.0293524,서울교통공사,서울특별시 성동구 왕십리로 지하 374 (하왕십리동),B553766,서울교통공사
