,사업장명,업태구분명,영업장주변구분명,주소,시도코드,시군구코드,법정동코드
0,아리랑나이트,고고(디스코)클럽,미분류,강원도 강릉시,32,32030,4215000000
1,소야노래공원,룸살롱,미분류,강원도 강릉시,32,32030,4215000000
2,하나노래궁,기타,유흥업소밀집지역,강원도 강릉시,32,32030,4215000000
3,팡팡,룸살롱,미분류,강원도 강릉시,32,32030,4215000000
4,아우라,룸살롱,미분류,강원도 강릉시,32,32030,4215000000
5,여의주노래팡,룸살롱,미분류,강원도 강릉시,32,32030,4215000000
6,스타노래궁,룸살롱,미분류,강원도 강릉시,32,32030,4215000000
7,대박노래성,기타,학교정화(상대),강원도 강릉시,32,32030,4215000000
8,연꽃노래궁,룸살롱,미분류,강원도 강릉시,32,32030,4215000000
9,신나노래짱,기타,미분류,강원도 강릉시,32,32030,4215000000
10,씨저스노래궁,룸살롱,미분류,강원도 강릉시,32,32030,4215000000
11,삼백(300),룸살롱,미분류,강원도 강릉시,32,32030,4215000000
12,스캔들,룸살롱,미분류,강원도 강릉시,32,32030,4215000000
13,로마노래궁,룸살롱,미분류,강원도 강릉시,32,32030,4215000000
14,쎄시봉라이브,룸살롱,기타,강원도 강릉시,32,32030,4215000000
15,판도라,룸살롱,기타,강원도 강릉시,32,32030,4215000000
16,춘향이,룸살롱,기타,강원도 강릉시,32,32030,4215000000
17,빨주노초노래타운,룸살롱,유흥업소밀집지역,강원도 강릉시,32,32030,4215000000
18,고래노래궁,룸살롱,기타,강원도 강릉시,32,32030,4215000000
19,조아조아노래클럽,룸살롱,유흥업소밀집지역,강원도 강릉시,32,32030,4215000000
20,쟝글,룸살롱,미분류,강원도 강릉시,32,32030,4215000000
21,아라비안,룸살롱,유흥업소밀집지역,강원도 강릉시,32,32030,4215000000
22,필노래궁,룸살롱,유흥업소밀집지역,강원도 강릉시,32,32030,4215000000
23,싸이버노래타운,기타,유흥업소밀집지역,강원도 강릉시,32,32030,4215000000
24,금반,룸살롱,미분류,강원도 강릉시,32,32030,4215000000
25,엔젤클럽,간이주점,미분류,강원도 강릉시,32,32030,4215000000
26,1%노래공원,룸살롱,기타,강원도 강릉시,32,32030,4215000000
27,은하노래클럽,룸살롱,유흥업소밀집지역,강원도 강릉시,32,32030,4215000000
28,싸인노래궁,룸살롱,미분류,강원도 강릉시,32,32030,4215000000
29,래미안,카바레,유흥업소밀집지역,강원도 강릉시,32,32030,4215000000
30,테크노노래공원,기타,기타,강원도 강릉시,32,32030,4215000000
31,불씨노래궁,룸살롱,미분류,강원도 강릉시,32,32030,4215000000
32,아라,룸살롱,미분류,강원도 강릉시,32,32030,4215000000
33,미시촌노래궁,기타,유흥업소밀집지역,강원도 강릉시,32,32030,4215000000
34,올레,룸살롱,유흥업소밀집지역,강원도 강릉시,32,32030,4215000000
35,황진이노래공원,룸살롱,미분류,강원도 강릉시,32,32030,4215000000
36,샤인노래공원,룸살롱,유흥업소밀집지역,강원도 강릉시,32,32030,4215000000
37,고려노래궁,룸살롱,미분류,강원도 강릉시,32,32030,4215000000
38,오아시스,룸살롱,유흥업소밀집지역,강원도 강릉시,32,32030,4215000000
39,두리,룸살롱,기타,강원도 강릉시,32,32030,4215000000
40,매창,기타,미분류,강원도 강릉시,32,32030,4215000000
41,항구노래타운,기타,기타,강원도 강릉시,32,32030,4215000000
42,아테나비지니스클럽,기타,미분류,강원도 강릉시,32,32030,4215000000
43,바하노래궁,룸살롱,기타,강원도 강릉시,32,32030,4215000000
44,코러스노래궁,룸살롱,미분류,강원도 강릉시,32,32030,4215000000
45,별천지,비어(바)살롱,유흥업소밀집지역,강원도 강릉시,32,32030,4215000000
46,카니발,비어(바)살롱,유흥업소밀집지역,강원도 강릉시,32,32030,4215000000
47,명작,룸살롱,유흥업소밀집지역,강원도 강릉시,32,32030,4215000000
48,밀레니엄,카바레,유흥업소밀집지역,강원도 강릉시,32,32030,4215000000
49,퀸즈,룸살롱,미분류,강원도 강릉시,32,32030,4215000000
50,뻑가,룸살롱,미분류,강원도 강릉시,32,32030,4215000000
51,환타,룸살롱,미분류,강원도 강릉시,32,32030,4215000000
52,태하,룸살롱,미분류,강원도 강릉시,32,32030,4215000000
53,하이크라스노래궁,룸살롱,유흥업소밀집지역,강원도 강릉시,32,32030,4215000000
54,케이팝노래타운,룸살롱,기타,강원도 강릉시,32,32030,4215000000
55,해송주점,기타,기타,강원도 강릉시,32,32030,4215000000
56,황금노래궁,룸살롱,유흥업소밀집지역,강원도 강릉시,32,32030,4215000000
57,오작교,간이주점,유흥업소밀집지역,강원도 강릉시,32,32030,4215000000
58,하와이,룸살롱,기타,강원도 강릉시,32,32030,4215000000
59,후궁노래클럽,룸살롱,기타,강원도 강릉시,32,32030,4215000000
60,뻘노래궁,룸살롱,유흥업소밀집지역,강원도 강릉시,32,32030,4215000000
61,매미노래밤,룸살롱,기타,강원도 강릉시,32,32030,4215000000
62,준코뮤직타운강릉교동1호점,기타,미분류,강원도 강릉시,32,32030,4215000000
63,소리질러,룸살롱,미분류,강원도 강릉시,32,32030,4215000000
64,워커힐노래타운,룸살롱,기타,강원도 강릉시,32,32030,4215000000
65,별밤라이브,기타,기타,강원도 강릉시,32,32030,4215000000
66,신세계노래공원,룸살롱,유흥업소밀집지역,강원도 강릉시,32,32030,4215000000
67,레인보우,룸살롱,미분류,강원도 강릉시,32,32030,4215000000
68,초콜릿노래궁,룸살롱,기타,강원도 강릉시,32,32030,4215000000
69,비치노래타운,룸살롱,유흥업소밀집지역,강원도 강릉시,32,32030,4215000000
70,오빠가요주점,룸살롱,유흥업소밀집지역,강원도 강릉시,32,32030,4215000000
71,다인,룸살롱,유흥업소밀집지역,강원도 강릉시,32,32030,4215000000
72,금노래타운,룸살롱,미분류,강원도 강릉시,32,32030,4215000000
73,찐찐노래클럽,룸살롱,유흥업소밀집지역,강원도 강릉시,32,32030,4215000000
