자료는 '가나다' 순으로 정렬되어 있습니다.,,,,,,,
학년도,고교명,고교소재지,수시,정시,합계,,
2017,가락고등학교,서울,1,1,2,,
2017,가림고등학교,인천,3,0,3,,
2017,가온고등학교,경기,0,1,1,,
2017,가평고등학교,경기,1,0,1,,
2017,강동고등학교,서울,1,0,1,,
2017,강동고등학교,대구,1,0,1,,
2017,강릉고등학교,강원,1,0,1,,
2017,강릉명륜고등학교,강원,1,0,1,,
2017,강릉여자고등학교,강원,1,0,1,,
2017,강릉제일고등학교,강원,1,0,1,,
2017,강북고등학교,대구,2,0,2,,
2017,강서고등학교,서울,2,15,17,,
2017,강원고등학교,강원,1,0,1,,
2017,강원과학고등학교,강원,1,0,1,,
2017,강원대학교사범대학부설고등학교,강원,0,1,1,,
2017,강원외국어고등학교,강원,1,2,3,,
2017,강일고등학교,서울,1,1,2,,
2017,강화고등학교,인천,2,0,2,,
2017,강화여자고등학교,인천,1,0,1,,
2017,개성고등학교,부산,1,1,2,,
2017,개포고등학교,서울,4,3,7,,
2017,거제고등학교,경남,2,0,2,,
2017,거제제일고등학교,경남,1,0,1,,
2017,거창대성고등학교,경남,4,2,6,,
2017,거창여자고등학교,경남,1,0,1,,
2017,건국대학교사범대학부속고등학교,서울,3,0,3,,
2017,건양대학교병설건양고등학교,충남,1,0,1,,
2017,경기고등학교,서울,6,7,13,,
2017,경기과학고등학교,경기,54,0,54,,
2017,경기북과학고등학교,경기,7,0,7,,
2017,경기여자고등학교,서울,8,2,10,,
2017,경기예술고등학교,경기,3,0,3,,
2017,경기외국어고등학교,경기,12,7,19,,
2017,경기창조고등학교,경기,1,0,1,,
2017,경남과학고등학교,경남,13,0,13,,
2017,경남예술고등학교,경남,2,0,2,,
2017,경남외국어고등학교,경남,2,0,2,,
2017,경명여자고등학교,대구,1,0,1,,
2017,경문고등학교,서울,3,6,9,,
2017,경복고등학교,서울,1,1,2,,
2017,경북고등학교,대구,1,0,1,,
2017,경북과학고등학교,경북,2,0,2,,
2017,경북여자고등학교,대구,2,0,2,,
2017,경북예술고등학교,대구,3,0,3,,
2017,경북외국어고등학교,경북,2,2,4,,
2017,경산과학고등학교,경북,2,0,2,,
2017,경산여자고등학교,경북,1,0,1,,
2017,경상고등학교,대구,1,0,1,,
2017,경상대학교사범대학부설고등학교,경남,1,0,1,,
2017,경상여자고등학교,대구,2,0,2,,
2017,경성고등학교,서울,2,0,2,,
2017,경신고등학교,서울,0,1,1,,
2017,경신고등학교,대구,3,3,6,,
2017,경안여자고등학교,경북,1,0,1,,
2017,경원고등학교,대구,2,0,2,,
2017,경일여자고등학교,대구,1,3,4,,
2017,경주고등학교,경북,3,2,5,,
2017,경해여자고등학교,경남,1,0,1,,
2017,경화여자고등학교,경기,1,0,1,,
2017,경화여자고등학교,대구,1,0,1,,
2017,경희고등학교,서울,1,2,3,,
2017,경희여자고등학교,서울,2,0,2,,
2017,계산여자고등학교,인천,2,0,2,,
2017,계성고등학교,서울,1,0,1,,
2017,계성고등학교,대구,1,5,6,,
2017,계양고등학교,인천,1,0,1,,
2017,계원예술고등학교,경기,6,1,7,,
2017,고려고등학교,광주,5,4,9,,
2017,고색고등학교,경기,1,0,1,,
2017,고성고등학교,강원,1,0,1,,
2017,고양국제고등학교,경기,8,4,12,,
2017,고양예술고등학교,경기,1,0,1,,
2017,고양외국어고등학교,경기,7,12,19,,
2017,고양일고등학교,경기,1,0,1,,
2017,고창북고등학교,전북,1,0,1,,
2017,공주고등학교,충남,1,0,1,,
2017,공주대학교사범대학부설고등학교,충남,5,10,15,,
2017,공항고등학교,서울,0,1,1,,
2017,과천고등학교,경기,1,0,1,,
2017,과천여자고등학교,경기,2,1,3,,
2017,과천외국어고등학교,경기,10,4,14,,
2017,과천중앙고등학교,경기,0,1,1,,
2017,관악고등학교,서울,2,2,4,,
2017,관양고등학교,경기,1,0,1,,
2017,광교고등학교,경기,1,0,1,,
2017,광남고등학교,서울,4,3,7,,
2017,광덕고등학교,광주,4,0,4,,
2017,광동고등학교,경기,2,0,2,,
2017,광명북고등학교,경기,3,1,4,,
2017,광문고등학교,경기,1,0,1,,
2017,광문고등학교,서울,1,0,1,,
2017,광성고등학교,서울,2,0,2,,
2017,광성고등학교,인천,1,0,1,,
2017,광신고등학교,서울,1,0,1,,
2017,광양제철고등학교,전남,5,1,6,,
2017,광영고등학교,서울,0,1,1,,
2017,광영여자고등학교,서울,1,0,1,,
2017,광주경신여자고등학교,광주,1,0,1,,
2017,광주과학고등학교,광주,11,0,11,,
2017,광주대동고등학교,광주,2,1,3,,
2017,광주동성고등학교,광주,2,0,2,,
2017,광주동신고등학교,광주,2,0,2,,
2017,광주동신여자고등학교,광주,1,0,1,,
