,학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,위도,경도
0,B000013333,진주외국어고등학교,고등학교,1970-12-26,사립,본교,운영,경상남도 진주시 일반성면 개암리 884,경상남도 진주시 일반성면 동부로 2014-6,9010000,경상남도교육청,35.16965618,128.281668
1,B000022925,용남고등학교,고등학교,1991-03-09,공립,본교,운영,충청남도 계룡시 신도안면 남선리 1278,충청남도 계룡시 신도안면 신도안1길 32,8140000,충청남도교육청,36.29430921,127.2447646
2,B000010931,장곡중학교,중학교,2001-03-06,공립,본교,운영,경상북도 칠곡군 석적읍 중리 246,경상북도 칠곡군 석적읍 남중리8길 13,8750000,경상북도교육청,36.07345548,128.4150883
3,B000011284,대정중학교,중학교,1946-11-08,공립,본교,운영,제주특별자치도 서귀포시 대정읍 하모리 778,제주특별자치도 서귀포시 대정읍 비행장로 18,9290000,제주특별자치도교육청,33.21996162,126.2532327
4,B000008177,안천중학교,중학교,1991-03-01,공립,본교,운영,서울특별시 금천구 독산동 1089,서울특별시 금천구 한내로 69-44,7010000,서울특별시교육청,37.45952426,126.8874988
6,B000012725,봉일천고등학교,고등학교,2007-03-06,공립,본교,운영,경기도 파주시 조리읍 봉일천리 254-2,경기도 파주시 조리읍 소곡로 54,7530000,경기도교육청,37.74699036,126.8162726
7,B000009526,안성중학교,중학교,1939-03-24,공립,본교,운영,경기도 안성시 금산동 33-12,경기도 안성시 금산길 43,7530000,경기도교육청,37.01331333,127.2704648
9,B000008476,태종대중학교,중학교,1974-12-21,공립,본교,운영,부산광역시 영도구 동삼동 523-1,부산광역시 영도구 함지로79번길 9,7150000,부산광역시교육청,35.07367396,129.0649205
12,B000011331,홍익디자인고등학교,고등학교,1968-03-01,사립,본교,운영,서울특별시 마포구 연남동 369-1,서울특별시 마포구 성미산로 111,7010000,서울특별시교육청,37.56351064,126.9191663
13,B000011107,한림중학교,중학교,1952-06-20,사립,본교,운영,경상남도 김해시 한림면 장방리 346,경상남도 김해시 한림면 한림로365번길 33,9010000,경상남도교육청,35.32172162,128.7996056
14,B000012051,영락고등학교,고등학교,1959-04-09,사립,본교,운영,서울특별시 관악구 봉천동 1558-1,서울특별시 관악구 청룡16길 25,7010000,서울특별시교육청,37.47654259,126.9454164
15,B000008271,오주중학교,중학교,1984-09-01,공립,본교,운영,서울특별시 송파구 오금동 59,서울특별시 송파구 동남로 281,7010000,서울특별시교육청,37.50150661,127.1362653
