시도,행정구역,학제 (학년도기준),학업중단률(%),전년도 학생수,학업중단자 계,유예,면제,자퇴,퇴학,제적
서울,종로구,초등학교,0.8,5192,42,14,28,0,0,0
서울,종로구,중학교,0.9,2793,25,16,9,0,0,0
서울,종로구,고등학교,1,8467,82,0,0,82,0,0
서울,종로구,(일반고),0.8,3531,30,0,0,30,0,0
서울,종로구,(특목고),1.4,1908,26,0,0,26,0,0
서울,종로구,(특성화고),1.1,1310,14,0,0,14,0,0
서울,종로구,(자율고),0.7,1718,12,0,0,12,0,0
서울,종로구,소계,0.9,16452,149,30,37,82,0,0
서울,중구,초등학교,1.5,4990,74,26,48,0,0,0
서울,중구,중학교,0.5,1845,10,7,3,0,0,0
서울,중구,고등학교,0.8,6731,56,0,0,56,0,0
서울,중구,(일반고),1.3,1116,14,0,0,14,0,0
서울,중구,(특목고),0.7,406,3,0,0,3,0,0
서울,중구,(특성화고),1,3587,37,0,0,37,0,0
서울,중구,(자율고),0.1,1622,2,0,0,2,0,0
서울,중구,소계,1,13566,140,33,51,56,0,0
서울,용산구,초등학교,1.6,6870,107,39,68,0,0,0
서울,용산구,중학교,1.3,3512,47,25,22,0,0,0
서울,용산구,고등학교,1.5,5470,84,1,0,83,0,0
서울,용산구,(일반고),1.7,3197,54,1,0,53,0,0
서울,용산구,(특성화고),1.6,1857,30,0,0,30,0,0
서울,용산구,(자율고),0,416,,,,,,
서울,용산구,소계,1.5,15852,238,65,90,83,0,0
서울,성동구,초등학교,0.9,10992,100,42,58,0,0,0
서울,성동구,중학교,0.6,4861,27,18,9,0,0,0
서울,성동구,고등학교,1.2,4594,53,1,0,52,0,0
서울,성동구,(일반고),1.1,2068,22,1,0,21,0,0
서울,성동구,(특성화고),2,1128,22,0,0,22,0,0
서울,성동구,(자율고),0.6,1398,9,0,0,9,0,0
서울,성동구,소계,0.9,20447,180,61,67,52,0,0
서울,광진구,초등학교,0.8,14257,108,53,55,0,0,0
서울,광진구,중학교,0.6,7337,45,33,12,0,0,0
서울,광진구,고등학교,0.8,7378,62,0,0,62,0,0
서울,광진구,(일반고),0.9,5024,43,0,0,43,0,0
서울,광진구,(특목고),1,1838,19,0,0,19,0,0
서울,광진구,(자율고),0,516,,,,,,
서울,광진구,소계,0.7,28972,215,86,67,62,0,0
서울,동대문구,초등학교,0.4,13157,55,26,29,0,0,0
