,academy_name,title,local,subject,start_date,end_date
0,정상어학원 성동분원,어학원 초중선생님 및 사무직원  초빙,서울 성동구,영어,09.13,09.18
1,삼광학원,급구: 초등부 영어/고등부영어/중등부수학 선생님을 모십니다.,경기 의정부,영어,09.13,10.02
2,하이퍼리뷰학원,대치동 하이퍼리뷰학원. 국어 고등부/재수생 강사 모집,서울 강남구,국어,09.13,09.27
3,마테마타수학학원,[초등부] 연 3000이상 보장,경기 고양시,수학,09.13,09.25
4,유라영어학원,광명시 철산동 영어전문학원 입니다~~~~~^^!!.,경기 광명시,영어,09.13,채용시
5,매쓰블릭수학학원,초중등부 수학 전임선생님을 모십니다.,인천 부평구,수학,09.13,09.26
6,백선화수학학원,열정적인 초중등부/중고등부 선생님을 모십니다주5일 가능),경기 성남시,수학,09.13,10.13
7,오세용 어학원,초중등부 영어선생님(전임/주5일 근무),서울 송파구,영어,09.13,10.06
8,강한수학학원,중등부 화목토 파트 수학선생님을 모십니다.,경기 남양주,수학,09.13,10.13
9,나무아카데미,"2021년도 수능, 내신 집필진 모집 (국어 내근)",서울 강남구,국어,09.13,09.23
10,수학의힘 강동 본원,영어 수학 선생님을 모십니다,서울 강동구,영어,09.13,채용시
11,뉴욕센트럴영어학원,김포 고촌 뉴욕센트럴영어학원 초중등 강사 모집,경기 김포시,영어,09.13,09.16
12,김정은 수학,김정은수학 더퍼스트 영등포 신길관 수학강사 모집,서울 영등포,수학,09.13,10.09
13,엠케이수학,중등~고1 영어 선생님 모십니다,서울 강북구,영어,09.13,10.13
14,필탑학원,수학(중3~고2.주5일)전임.초빙,서울 구로구,수학,09.13,채용시
15,일공구오국어학원,가온국어 논술 학원에서 중등부 선생님을 모십니다.,서울 광진구,국어,09.13,10.01
16,황은영국어 2관,동탄 중고등부 국어 과학 선생님 모십니다,경기 화성시,국어,09.13,10.12
17,온새미로입시학원,국어. 영어.수학  선생님을 모집합니다.,경기 파주시,국어,09.13,10.13
18,아이필학원,중고등 국어강사 모십니다,인천 계양구,국어,09.13,10.13
19,대두수학학원,국어 강사님을 모십니다.,경기 성남시,국어,09.13,채용시
20,김샘수학&유베스타어학원,연수UbestA영어학원 초중등부영어선생님 모십니다.,인천 연수구,영어,09.13,10.13
21,신수학영어학원,열정으로 가득하신 고등부 영어 파트 선생님 모십니다^^,인천 남동구,영어,09.13,채용시
22,고대수학원,"고대수학원 중고등전임1명,초등월수금,화목파트1명 모집",인천 연수구,수학,09.13,10.13
23,와이즈만영재교육 잠실센...,실험 과학 및 사고력 수학 선생님과 데스크 선생님을 모십니다.,서울 송파구,수학,09.13,채용시
24,Julie 영어수학,초중등 영어 선생님 모십니다. 어학원 경력자 우대,서울 중랑구,영어,09.13,10.13
25,주식회사 교연학원/LFA키...,중/고등 영어.수학.국어 선생님 모십니다^^,인천 서구,영어,09.13,10.08
26,탑 고려보습학원,[광진구] [월수금] 중1 수학 선생님 모십니다.,서울 광진구,수학,09.13,09.20
27,강북 세일학원,(중등부) 수학 선생님을 모십니다,서울 성북구,수학,09.13,채용시
28,채움학원,[경기 부천시] [전임] [월~토] [중1~고2 영어],경기 부천시,영어,09.13,채용시
29,대학입시외국어학원,단과!열정!초중 관리자 중고 영/수/과학샘 /전문경영인 환영,경기 시흥시,영어,09.13,10.10
30,sky미래연수학학원,"(중계동)SKY미래연수학학원 중등부, 고등부 강사 모집",서울 노원구,수학,09.13,채용시
31,대원학원,"[목동] 수학전문학원 수학 전임강사, 상담실장님 구인합니다.",서울 양천구,수학,09.13,채용시
32,목동ILS,초등부 교수부장 구합니다,서울 양천구,영어,09.13,09.20
