전체이름,구분,학교코드,기관코드,2016년 예산(A),2017년 예산(B),2018년 예산(A),2019년 예산(B),2020년 예산(B)
서울특별시교육청,서울,B100000001,7010000,"7,852,159","8,147,725","9,151,267","9,380,315","10,084,661"
부산광역시교육청,부산,C100000001,7150000,"3,396,531","3,635,672","3,920,495","4,210,850","4,605,947"
대구광역시교육청,대구,D100000001,7240000,"2,624,925","2,943,500","3,140,785","3,262,805","3,421,228"
인천광역시교육청,인천,E100000001,7310000,"2,868,765","3,132,755","3,525,648","3,788,828","4,202,225"
광주광역시교육청,광주,F100000001,7380000,"1,672,129","1,796,151","2,002,522","2,147,931","2,237,272"
대전광역시교육청,대전,G100000001,7430000,"1,568,535","1,813,785","1,903,224","2,127,976","2,239,713"
울산광역시교육청,울산,H100000001,7480000,"1,347,450","1,542,265","1,656,240","1,767,155","1,764,632"
세종특별자치시교육청,세종,I100000001,9300000,"503,226","551,145","702,308","834,953","761,091"
경기도교육청,경기,J100000001,7530000,"11,771,108","12,052,414","14,548,472","15,417,756","16,465,048"
강원도교육청,강원,K100000001,7800000,"2,331,884","2,560,973","2,768,439","3,041,420","3,078,639"
충청북도교육청,충북,M100000001,8000000,"2,016,653","2,260,042","2,533,206","2,690,301","2,724,213"
충청남도교육청,충남,N100000001,8140000,"2,812,219","3,029,476","3,263,711","3,451,696","3,614,273"
전라북도교육청,전북,P100000001,8320000,"2,677,899","2,861,847","3,315,707","3,469,088","3,535,131"
전라남도교육청,전남,Q100000001,8490000,"3,118,251","3,349,600","3,554,300","3,839,300","3,873,350"
경상북도교육청,경북,R100000001,8750000,"3,663,778","4,001,281","4,103,546","4,537,665","4,576,114"
경상남도교육청,경남,S100000001,9010000,"4,031,864","4,474,356","4,979,010","5,426,712","5,484,999"
제주특별자치도교육청,제주,T100000001,9290000,"816,019","913,227","1,093,373","1,201,215","1,206,137"
