,법정동코드,법정동명,폐지여부
0,1100000000,서울특별시,존재
1,1111000000,서울특별시 종로구,존재
2,1114000000,서울특별시 중구,존재
3,1117000000,서울특별시 용산구,존재
4,1120000000,서울특별시 성동구,존재
5,1121500000,서울특별시 광진구,존재
6,1123000000,서울특별시 동대문구,존재
7,1126000000,서울특별시 중랑구,존재
8,1129000000,서울특별시 성북구,존재
9,1130500000,서울특별시 강북구,존재
10,1132000000,서울특별시 도봉구,존재
11,1135000000,서울특별시 노원구,존재
12,1138000000,서울특별시 은평구,존재
13,1141000000,서울특별시 서대문구,존재
14,1144000000,서울특별시 마포구,존재
15,1147000000,서울특별시 양천구,존재
16,1150000000,서울특별시 강서구,존재
17,1153000000,서울특별시 구로구,존재
18,1154500000,서울특별시 금천구,존재
19,1156000000,서울특별시 영등포구,존재
20,1159000000,서울특별시 동작구,존재
21,1162000000,서울특별시 관악구,존재
22,1165000000,서울특별시 서초구,존재
23,1168000000,서울특별시 강남구,존재
24,1171000000,서울특별시 송파구,존재
25,1174000000,서울특별시 강동구,존재
65,2600000000,부산광역시,존재
66,2611000000,부산광역시 중구,존재
67,2614000000,부산광역시 서구,존재
68,2617000000,부산광역시 동구,존재
69,2620000000,부산광역시 영도구,존재
70,2623000000,부산광역시 부산진구,존재
71,2626000000,부산광역시 동래구,존재
72,2629000000,부산광역시 남구,존재
73,2632000000,부산광역시 북구,존재
74,2635000000,부산광역시 해운대구,존재
75,2638000000,부산광역시 사하구,존재
76,2641000000,부산광역시 금정구,존재
77,2644000000,부산광역시 강서구,존재
78,2647000000,부산광역시 연제구,존재
79,2650000000,부산광역시 수영구,존재
80,2653000000,부산광역시 사상구,존재
81,2671000000,부산광역시 기장군,존재
82,2700000000,대구광역시,존재
83,2711000000,대구광역시 중구,존재
84,2714000000,대구광역시 동구,존재
85,2717000000,대구광역시 서구,존재
86,2720000000,대구광역시 남구,존재
87,2723000000,대구광역시 북구,존재
88,2726000000,대구광역시 수성구,존재
89,2729000000,대구광역시 달서구,존재
90,2771000000,대구광역시 달성군,존재
91,2800000000,인천광역시,존재
92,2811000000,인천광역시 중구,존재
93,2814000000,인천광역시 동구,존재
95,2817700000,인천광역시 미추홀구,존재
96,2818500000,인천광역시 연수구,존재
97,2820000000,인천광역시 남동구,존재
99,2823700000,인천광역시 부평구,존재
100,2824500000,인천광역시 계양구,존재
101,2826000000,인천광역시 서구,존재
102,2871000000,인천광역시 강화군,존재
103,2872000000,인천광역시 옹진군,존재
104,2900000000,광주광역시,존재
105,2911000000,광주광역시 동구,존재
106,2914000000,광주광역시 서구,존재
107,2915500000,광주광역시 남구,존재
108,2917000000,광주광역시 북구,존재
109,2920000000,광주광역시 광산구,존재
110,3000000000,대전광역시,존재
111,3011000000,대전광역시 동구,존재
112,3014000000,대전광역시 중구,존재
113,3017000000,대전광역시 서구,존재
114,3020000000,대전광역시 유성구,존재
115,3023000000,대전광역시 대덕구,존재
116,3100000000,울산광역시,존재
117,3111000000,울산광역시 중구,존재
118,3114000000,울산광역시 남구,존재
