,법정동코드,법정동명,폐지여부
0,1111000000,서울특별시 종로구,존재
1,1114000000,서울특별시 중구,존재
2,1117000000,서울특별시 용산구,존재
3,1120000000,서울특별시 성동구,존재
4,1121500000,서울특별시 광진구,존재
5,1123000000,서울특별시 동대문구,존재
6,1126000000,서울특별시 중랑구,존재
7,1129000000,서울특별시 성북구,존재
8,1130500000,서울특별시 강북구,존재
9,1132000000,서울특별시 도봉구,존재
10,1135000000,서울특별시 노원구,존재
11,1138000000,서울특별시 은평구,존재
12,1141000000,서울특별시 서대문구,존재
13,1144000000,서울특별시 마포구,존재
14,1147000000,서울특별시 양천구,존재
15,1150000000,서울특별시 강서구,존재
16,1153000000,서울특별시 구로구,존재
17,1154500000,서울특별시 금천구,존재
18,1156000000,서울특별시 영등포구,존재
19,1159000000,서울특별시 동작구,존재
20,1162000000,서울특별시 관악구,존재
21,1165000000,서울특별시 서초구,존재
22,1168000000,서울특별시 강남구,존재
23,1171000000,서울특별시 송파구,존재
24,1174000000,서울특별시 강동구,존재
25,2611000000,부산광역시 중구,존재
26,2614000000,부산광역시 서구,존재
27,2617000000,부산광역시 동구,존재
28,2620000000,부산광역시 영도구,존재
29,2623000000,부산광역시 부산진구,존재
30,2626000000,부산광역시 동래구,존재
31,2629000000,부산광역시 남구,존재
32,2632000000,부산광역시 북구,존재
33,2635000000,부산광역시 해운대구,존재
34,2638000000,부산광역시 사하구,존재
35,2641000000,부산광역시 금정구,존재
36,2644000000,부산광역시 강서구,존재
37,2647000000,부산광역시 연제구,존재
38,2650000000,부산광역시 수영구,존재
39,2653000000,부산광역시 사상구,존재
40,2671000000,부산광역시 기장군,존재
41,2711000000,대구광역시 중구,존재
42,2714000000,대구광역시 동구,존재
43,2717000000,대구광역시 서구,존재
44,2720000000,대구광역시 남구,존재
45,2723000000,대구광역시 북구,존재
46,2726000000,대구광역시 수성구,존재
47,2729000000,대구광역시 달서구,존재
48,2771000000,대구광역시 달성군,존재
49,2811000000,인천광역시 중구,존재
50,2814000000,인천광역시 동구,존재
51,2817700000,인천광역시 미추홀구,존재
52,2818500000,인천광역시 연수구,존재
53,2820000000,인천광역시 남동구,존재
54,2823700000,인천광역시 부평구,존재
55,2824500000,인천광역시 계양구,존재
56,2826000000,인천광역시 서구,존재
57,2871000000,인천광역시 강화군,존재
58,2872000000,인천광역시 옹진군,존재
59,2911000000,광주광역시 동구,존재
60,2914000000,광주광역시 서구,존재
61,2915500000,광주광역시 남구,존재
62,2917000000,광주광역시 북구,존재
63,2920000000,광주광역시 광산구,존재
64,3011000000,대전광역시 동구,존재
65,3014000000,대전광역시 중구,존재
66,3017000000,대전광역시 서구,존재
67,3020000000,대전광역시 유성구,존재
68,3023000000,대전광역시 대덕구,존재
69,3111000000,울산광역시 중구,존재
70,3114000000,울산광역시 남구,존재
71,3117000000,울산광역시 동구,존재
72,3120000000,울산광역시 북구,존재
73,3171000000,울산광역시 울주군,존재
74,3611000000,세종특별자치시,존재
75,4111000000,경기도 수원시,존재
76,4113000000,경기도 성남시,존재
77,4115000000,경기도 의정부시,존재
78,4117000000,경기도 안양시,존재
79,4119000000,경기도 부천시,존재
80,4121000000,경기도 광명시,존재
81,4122000000,경기도 평택시,존재
82,4125000000,경기도 동두천시,존재
83,4127000000,경기도 안산시,존재
84,4128000000,경기도 고양시,존재
85,4129000000,경기도 과천시,존재
86,4131000000,경기도 구리시,존재
87,4136000000,경기도 남양주시,존재
88,4137000000,경기도 오산시,존재
89,4139000000,경기도 시흥시,존재
90,4141000000,경기도 군포시,존재
91,4143000000,경기도 의왕시,존재
92,4145000000,경기도 하남시,존재
93,4146000000,경기도 용인시,존재
94,4148000000,경기도 파주시,존재
95,4150000000,경기도 이천시,존재
96,4155000000,경기도 안성시,존재
97,4157000000,경기도 김포시,존재
98,4159000000,경기도 화성시,존재
99,4161000000,경기도 광주시,존재
100,4163000000,경기도 양주시,존재
101,4165000000,경기도 포천시,존재
102,4167000000,경기도 여주시,존재
103,4180000000,경기도 연천군,존재
104,4182000000,경기도 가평군,존재
105,4183000000,경기도 양평군,존재
106,4211000000,강원도 춘천시,존재
